periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,5865000.0,0.51,334317000.0,759060000.0,51593981921.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34468511921.0,552265000.0,1954124000.0,18503399000.0,3,2025,VICI,32.4900016784668,32.939998626708984,31.770000457763672,32.650001525878906,41696400.0,31.78182029724121,0.0,0.0
3M,USD,5865000.0,0.51,334317000.0,759060000.0,51593981921.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34468511921.0,552265000.0,1954124000.0,18503399000.0,3,2025,VICI,32.75,34.029998779296875,31.489999771118164,32.25,53141400.0,31.392452239990234,0.0,0.0
3M,USD,5865000.0,0.51,334317000.0,759060000.0,51593981921.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34468511921.0,552265000.0,1954124000.0,18503399000.0,3,2025,VICI,32.349998474121094,32.7599983215332,31.475000381469727,31.530000686645508,44336100.0,30.691598892211914,0.433,0.0
3M,USD,5865000.0,0.51,334317000.0,759060000.0,51593981921.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34468511921.0,552265000.0,1954124000.0,18503399000.0,3,2025,VICI,31.649999618530273,32.349998474121094,31.40999984741211,32.0099983215332,27354700.0,31.581151962280273,0.0,0.0
3M,USD,5865000.0,0.51,334317000.0,759060000.0,51593981921.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34468511921.0,552265000.0,1954124000.0,18503399000.0,3,2025,VICI,32.0,32.880001068115234,30.46500015258789,30.59000015258789,44255300.0,30.180177688598633,0.0,0.0
3M,USD,6940000.0,0.82,232983000.0,1097729000.0,51878611209.0,639227000.0,994715000.0,43946724000.0,16922273000.0,34448652209.0,878368000.0,2362176000.0,18609911000.0,6,2025,VICI,31.6200008392334,31.90999984741211,31.1200008392334,31.469999313354492,23569300.0,31.04838752746582,0.0,0.0
3M,USD,6940000.0,0.82,232983000.0,1097729000.0,51878611209.0,639227000.0,994715000.0,43946724000.0,16922273000.0,34448652209.0,878368000.0,2362176000.0,18609911000.0,6,2025,VICI,31.450000762939453,32.84000015258789,31.399999618530273,32.119998931884766,28128000.0,31.689678192138672,0.0,0.0
3M,USD,6940000.0,0.82,232983000.0,1097729000.0,51878611209.0,639227000.0,994715000.0,43946724000.0,16922273000.0,34448652209.0,878368000.0,2362176000.0,18609911000.0,6,2025,VICI,32.29999923706055,32.68000030517578,31.78499984741211,32.27000045776367,31823600.0,31.837671279907227,0.433,0.0
3M,USD,6940000.0,0.82,232983000.0,1097729000.0,51878611209.0,639227000.0,994715000.0,43946724000.0,16922273000.0,34448652209.0,878368000.0,2362176000.0,18609911000.0,6,2025,VICI,32.380001068115234,32.95000076293945,31.979999542236328,32.279998779296875,26986300.0,32.279998779296875,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,9,2024,WPC,59.86000061035156,61.66999816894531,59.72999954223633,61.47999954223633,3768200.0,57.9571418762207,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,9,2024,WPC,60.90999984741211,63.349998474121094,60.29999923706055,63.279998779296875,4044100.0,59.65399932861328,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,9,2024,WPC,63.599998474121094,64.26000213623047,62.08000183105469,62.2400016784668,7875200.0,58.6735954284668,0.0,0.0
