year,month,open_mean,open_var,open_min,open_max,close_mean,close_var,close_min,close_max,dividends_mean,dividends_var,dividends_min,dividends_max,volume_mean,volume_var,volume_min,volume_max,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,high,low,adjclose,symbol
2024,9,33.475999450683595,0.16322988082974932,33.09000015258789,34.13999938964844,33.20799942016602,0.32047060516488346,32.41999816894531,33.959999084472656,0.0866,0.0374978,0.0,0.433,24916900.0,53244730500000.0,18726400.0,36674400.0,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,34.02000045776367,33.275001525878906,31.71128845214844,VICI
2024,12,30.579000091552736,3.0160316092686132,28.65999984741211,32.59000015258789,29.993999862670897,1.7196286193091521,28.790000915527344,31.649999618530277,0.0866,0.0374978,0.0,0.433,24816660.0,110868315733000.0,14741900.0,42727500.0,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,32.599998474121094,31.424999237060547,30.37710952758789,VICI
2025,3,32.24799995422363,0.18502023933542555,31.649999618530277,32.75,31.8060001373291,0.6264802851881529,30.59000015258789,32.650001525878906,0.0866,0.0374978,0.0,0.433,42156780.0,87282155117000.0,27354700.0,53141400.0,1056012414.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-9450.0,-45000.0,32.939998626708984,31.770000457763672,31.78182029724121,VICI
2025,6,31.937500476837158,0.22189137179126847,31.450000762939453,32.380001068115234,32.03499937057495,0.14723340377865232,31.46999931335449,32.279998779296875,0.10825,0.04687225,0.0,0.433,27626800.0,11579292726666.666,23569300.0,31823600.0,1056222836.0,6619000.0,1097729000.0,639227000.0,994715000.0,43946724000.0,1056705763.0,19536000.0,2362176000.0,-46794.070132,-7434000.0,31.90999984741211,31.1200008392334,31.04838752746582,VICI
2024,9,18.5379997253418,0.116420078353985,18.15999984741211,18.920000076293945,18.52599983215332,0.089029928894161,18.170000076293945,18.84000015258789,0.057999999999999996,0.016819999999999998,0.0,0.29,5221720.0,1737361742000.0,3649300.0,7138900.0,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,18.71500015258789,18.010000228881836,17.029294967651367,BNL
2024,12,16.689999961853026,0.4702500543597122,15.9399995803833,17.40999984741211,16.399999809265136,0.39464985046397466,15.850000381469728,17.239999771118164,0.057999999999999996,0.016819999999999998,0.0,0.29,5206260.0,8145427723000.0,2716700.0,10064500.0,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,17.510000228881836,17.0,16.338342666625977,BNL
2025,3,16.973999786376954,0.013779902191527114,16.780000686645508,17.06999969482422,16.80799980163574,0.1282697415164874,16.18000030517578,17.059999465942383,0.057999999999999996,0.016819999999999998,0.0,0.29,7765540.0,4497209353000.0,5443400.0,11200800.0,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,17.190000534057617,16.510000228881836,16.380666732788086,BNL
2025,6,16.117500066757202,0.05669176476802342,15.779999732971191,16.34000015258789,16.190000534057617,0.00526669158959218,16.1200008392334,16.290000915527344,0.0,0.0,0.0,0.0,8451975.0,5550208562500.0,6005000.0,11284700.0,188041000.0,5003000.0,41141000.0,76672000.0,107983000.0,5020727000.0,189130000.0,0.0,-571302000.0,-112997.50362,-11373000.0,16.299999237060547,15.649999618530272,15.899462699890137,BNL
2024,9,8.702000045776368,0.0380198750306591,8.510000228881836,8.979999542236328,8.65399990081787,0.046229959030188096,8.369999885559082,8.9399995803833,0.0,0.0,0.0,0.0,6687600.0,3023079355000.0005,4737800.0,8791300.0,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,8.829999923706055,8.489999771118164,7.71541690826416,GNL
2024,12,7.213999938964844,0.011980013866445935,7.119999885559082,7.400000095367432,7.245999908447265,0.024580006999985957,7.139999866485596,7.519999980926514,0.0,0.0,0.0,0.0,7382600.0,9780649765000.0,5664400.0,12965900.0,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,7.400000095367432,7.119999885559082,6.509130477905273,GNL
