periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.15999984741211,18.71500015258789,18.010000228881836,18.25,3649300.0,17.029294967651367,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.219999313354492,18.65999984741211,18.100000381469727,18.639999389648438,5294100.0,17.393207550048828,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.809999465942383,19.100000381469727,18.530000686645508,18.729999542236328,7138900.0,17.47718620300293,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.920000076293945,19.040000915527344,18.625,18.84000015258789,4417700.0,17.579830169677734,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.579999923706055,19.149999618530273,18.024999618530273,18.170000076293945,5608600.0,16.95464515686035,0.29,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,17.40999984741211,17.510000228881836,17.0,17.239999771118164,4675800.0,16.338342666625977,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,17.229999542236328,17.329999923706055,16.799999237060547,16.899999618530273,4923700.0,16.016124725341797,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,16.8700008392334,17.18600082397461,15.34000015258789,16.06999969482422,10064500.0,15.229534149169922,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,16.0,16.25,15.859999656677246,15.9399995803833,2716700.0,15.106332778930664,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,15.9399995803833,15.989999771118164,15.619999885559082,15.850000381469727,3650600.0,15.021039962768555,0.29,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,17.0,17.190000534057617,16.510000228881836,16.969999313354492,5443400.0,16.380666732788086,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,17.059999465942383,17.364999771118164,16.514999389648438,17.059999465942383,7391100.0,16.46754264831543,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,17.06999969482422,17.329999923706055,16.78499984741211,16.860000610351562,6958900.0,16.27448844909668,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,16.959999084472656,17.274999618530273,16.68000030517578,16.969999313354492,11200800.0,16.380666732788086,0.0,0.0
3M,USD,187865000.0,5488000.0,37922000.0,57111000.0,103202000.0,4939873000.0,189073000.0,0.0,-536074000.0,-312733.35948,-15723000.0,3,2025,BNL,16.780000686645508,17.200000762939453,16.1299991607666,16.18000030517578,7833500.0,15.618103981018066,0.29,0.0
3M,USD,188041000.0,5003000.0,41141000.0,76672000.0,107983000.0,5020727000.0,189130000.0,0.0,-571302000.0,-112997.50362,-11373000.0,6,2025,BNL,15.779999732971191,16.299999237060547,15.649999618530273,16.190000534057617,11284700.0,15.899462699890137,0.0,0.0
3M,USD,188041000.0,5003000.0,41141000.0,76672000.0,107983000.0,5020727000.0,189130000.0,0.0,-571302000.0,-112997.50362,-11373000.0,6,2025,BNL,16.170000076293945,16.479999542236328,16.020000457763672,16.1200008392334,6005000.0,15.830718994140625,0.0,0.0
3M,USD,188041000.0,5003000.0,41141000.0,76672000.0,107983000.0,5020727000.0,189130000.0,0.0,-571302000.0,-112997.50362,-11373000.0,6,2025,BNL,16.18000030517578,16.405000686645508,15.850000381469727,16.290000915527344,7126800.0,15.997668266296387,0.0,0.0
3M,USD,188041000.0,5003000.0,41141000.0,76672000.0,107983000.0,5020727000.0,189130000.0,0.0,-571302000.0,-112997.50362,-11373000.0,6,2025,BNL,16.34000015258789,16.6299991607666,15.979999542236328,16.15999984741211,9391400.0,15.869999885559082,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.520000457763672,8.829999923706055,8.489999771118164,8.75,5180800.0,7.71541690826416,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.739999771118164,8.9399995803833,8.460000038146973,8.9399995803833,4737800.0,7.882951736450195,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.979999542236328,9.104999542236328,8.645000457763672,8.670000076293945,8791300.0,7.644876480102539,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.760000228881836,8.930000305175781,8.529999732971191,8.539999961853027,6781200.0,7.530246257781982,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.510000228881836,8.569999694824219,8.194999694824219,8.369999885559082,7946900.0,7.380346298217773,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.400000095367432,7.400000095367432,7.119999885559082,7.139999866485596,6016800.0,6.509130477905273,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.199999809265137,7.335000038146973,7.059999942779541,7.21999979019165,6067800.0,6.582061767578125,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.199999809265137,7.420000076293945,7.0,7.150000095367432,12965900.0,6.518247127532959,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.119999885559082,7.324999809265137,7.039999961853027,7.199999809265137,5664400.0,6.563828945159912,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.150000095367432,7.599999904632568,7.119999885559082,7.519999980926514,6198100.0,6.855554580688477,0.0,0.0
3M,USD,230264000.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL,8.0,8.321000099182129,8.0,8.149999618530273,10575300.0,7.728387355804443,0.0,0.0
3M,USD,230264000.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL,8.149999618530273,8.260000228881836,7.769999980926514,8.0600004196167,9709600.0,7.6430439949035645,0.0,0.0
3M,USD,230264000.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL,8.029999732971191,8.260000228881836,7.795000076293945,7.829999923706055,9355600.0,7.4249420166015625,0.0,0.0
3M,USD,230264000.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL,7.96999979019165,8.079999923706055,7.849999904632568,8.0,5466900.0,7.586147785186768,0.0,0.0
3M,USD,230264000.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL,7.989999771118164,8.069999694824219,7.460000038146973,7.519999980926514,10005000.0,7.130978584289551,0.0,0.0
3M,USD,222960000.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL,7.710000038146973,7.789999961853027,7.505000114440918,7.71999979019165,6055800.0,7.5269999504089355,0.0,0.0
3M,USD,222960000.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL,7.730000019073486,7.849999904632568,7.275000095367432,7.389999866485596,10838500.0,7.205250263214111,0.0,0.0
