year,month,open_mean,open_var,open_min,open_max,close_mean,close_var,close_min,close_max,dividends_mean,dividends_var,dividends_min,dividends_max,volume_mean,volume_var,volume_min,volume_max,BasicAverageShares,CostOfRevenue,EBIT,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,symbol,money_per_quota,percent_growth
2024,3,29.075000286102295,0.06856673456877672,28.86000061035156,29.450000762939453,29.165000438690186,0.18896704533926822,28.81999969482422,29.790000915527344,0.10375,0.04305624999999999,0.0,0.415,30139000.0,87082607100000.0,22180600.0,43088900.0,1042404634.0,6511000.0,806247000.0,42126563000.0,1043137031.0,19312000.0,1122878000.0,-792.214379,-305000.0,VICI,-0.607500057220459,-2.082976334931069
2024,6,28.329999923706055,0.07966668955486948,28.15999984741211,28.75,28.350000381469727,0.050199792989588675,28.100000381469727,28.63999938964844,0.10375,0.04305624999999999,0.0,0.415,28617525.0,6322803742500.0,25379100.0,31406400.0,1042650713.0,6813000.0,961764000.0,42446257000.0,1043171743.0,19323000.0,1431264000.0,-1107.963497,-259000.0,VICI,5.0483490386962915,17.807227410113263
2024,9,33.475999450683595,0.16322988082974932,33.09000015258789,34.13999938964844,33.20799942016602,0.32047060516488346,32.41999816894531,33.959999084472656,0.0866,0.0374978,0.0,0.433,24916900.0,53244730500000.0,18726400.0,36674400.0,1046626838.0,6824000.0,954259000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,VICI,-3.0407995574951214,-9.156828506954724
2024,12,30.579000091552736,3.0160316092686132,28.65999984741211,32.59000015258789,29.993999862670897,1.7196286193091521,28.790000915527344,31.649999618530277,0.0866,0.0374978,0.0,0.433,24816660.0,110868315733000.0,14741900.0,42727500.0,1054993118.0,6747000.0,834773000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,VICI,2.3108502708435075,7.704375146442144
2025,3,32.30999994277954,0.22106699524101603,31.649999618530277,32.75,32.110000133514404,0.2192003957131108,31.530000686645508,32.650001525878906,0.10825,0.04687225,0.0,0.433,41632150.0,114541295910000.0,27354700.0,53141400.0,0.0,6352000.0,759060000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-18000.0,-45000.0,VICI,,
2023,9,53.95690536499024,5.189396371654027,53.95690536499024,53.95690536499024,52.96767807006836,3.901860476133411,52.96767807006836,52.96767807006836,0.0,0.06365176703310599,0.0,0.0,2365657.0,5489689956916.89,2365657.0,2365657.0,0.0,0.0,0.0,0.0,0.0,-2484000.0,0.0,0.0,0.0,WPC,3.7385717010498047,7.0582133052995655
2024,3,56.37750053405762,0.6928228754695765,55.58000183105469,57.52999877929688,56.489999771118164,0.5665995900490085,55.959999084472656,57.56999969482422,0.21625,0.18705625,0.0,0.865,6776000.0,3434357346666.6665,4653500.0,9114100.0,220031597.0,43096000.0,236411000.0,16546272000.0,218823907.0,0.0,-2926085000.0,1405181.795422,27177000.0,WPC,-0.43875041961669925,-0.7766868851024862
2024,6,55.90999984741211,0.42019876302219855,55.20000076293945,56.7599983215332,55.617499351501465,0.38129199600249675,55.04999923706055,56.209999084472656,0.2175,0.18922499999999998,0.0,0.87,7186225.0,544305549166.6665,6342400.0,8097600.0,220195910.0,46500000.0,214380000.0,16735327000.0,218831869.0,-1094000.0,-2975236000.0,1173730.756073,28135000.0,WPC,6.7730009841918974,12.177823640337852
2024,9,61.81999969482422,2.2305484039316026,59.86000061035156,63.59999847412109,61.99800033569336,1.3941201618974508,60.25,63.27999877929688,0.175,0.15312499999999998,0.0,0.875,4891460.0,3033985893000.0,3768200.0,7875200.0,220221366.0,42095000.0,193222000.0,16552279000.0,218847015.0,15895000.0,-3056708000.0,-756514.084974,-10096000.0,WPC,-6.341000579833987,-10.22775016210218
2024,12,55.63400039672852,1.8189807238784932,54.09999847412109,57.0,55.305999755859375,1.311831861421524,54.25,57.02000045776367,0.176,0.15488,0.0,0.88,5843520.0,5133306807000.0,3133300.0,9317700.0,220223239.0,44827000.0,125693000.0,16468697000.0,218848844.0,0.0,-3203974000.0,1983767.195767,13990000.0,WPC,7.774999977111817,14.058149226907515
2025,3,63.33749961853027,2.236751582342552,61.4900016784668,64.83999633789062,62.90499973297119,1.8608274968513208,61.4900016784668,64.7699966430664,0.0,0.0,0.0,0.0,7475350.0,5361050256666.667,4872100.0,10491000.0,220401156.0,45342000.0,206252000.0,16228665000.0,218975748.0,0.0,-3276497000.0,1016048.192771,12006000.0,WPC,,
2024,6,15.397500038146973,0.08902490768438497,15.100000381469728,15.789999961853027,15.509999752044678,0.11779998194378986,15.15999984741211,15.869999885559082,0.0725,0.021025,0.0,0.29,5994725.0,1464941069166.6665,5202700.0,7787700.0,187436000.0,5303000.0,54225000.0,4954129000.0,188517000.0,0.0,-449893000.0,-6814.412636,-468000.0,BNL,3.1465000801086433,20.28691251071001
2024,9,18.5379997253418,0.116420078353985,18.15999984741211,18.920000076293945,18.52599983215332,0.089029928894161,18.170000076293945,18.84000015258789,0.057999999999999996,0.016819999999999998,0.0,0.29,5221720.0,1737361742000.0,3649300.0,7138900.0,187496000.0,7014000.0,55155000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,BNL,-2.010000022888185,-10.849616976675518
