,ticker,start,price_start,price_end,pct_variation
0,VICI,2025-06-01,31.770000457763672,32.599998474121094,2.6125212603029544
1,BNL,2025-06-01,16.020000457763672,16.049999237060547,0.18725829238248792
2,SBRA,2025-06-01,17.479999542236328,18.440000534057617,5.491996664540358
3,PEB-PF,2025-06-01,18.459999084472656,17.549999237060547,-4.929576882685447
4,PEB-PE,2025-06-01,18.1299991607666,17.559999465942383,-3.1439587490864347
5,PEB,2025-06-01,9.0600004196167,9.989999771118164,10.264893029009487
6,PEB-PG,2025-06-01,18.65999984741211,17.549999237060547,-5.948556374214036
7,STAG,2025-06-01,36.0099983215332,36.279998779296875,0.7497930306823075
8,REXR-PC,2025-06-01,21.689699172973633,21.170000076293945,-2.3960641064457757
9,VNO,2025-06-01,37.7400016784668,38.2400016784668,1.3248542071085374
10,KRC,2025-06-01,32.2599983215332,34.310001373291016,6.354628513385438
11,CDP,2025-06-01,27.739999771118164,27.579999923706055,-0.5767838815150069
12,VRE,2025-06-01,15.069999694824219,14.890000343322754,-1.1944217328901838
13,BRX,2025-06-01,25.190000534057617,26.040000915527344,3.374356345568557
14,EPRT,2025-06-01,32.68000030517578,31.90999984741211,-2.3561825292936764
15,KRG,2025-06-01,22.079999923706055,22.649999618530273,2.5815203659137795
16,UE,2025-06-01,18.190000534057617,18.65999984741211,2.5838334225142
17,FCPT,2025-06-01,27.579999923706055,26.90999984741211,-2.429296875081043
18,NTST,2025-06-01,15.979999542236328,16.93000030517578,5.94493610859331
19,ALX,2025-06-01,228.89999389648438,225.32000732421875,-1.5639959229901093
20,WSR,2025-06-01,12.380000114440918,12.479999542236328,0.8077498131745868
21,ADC-PA,2025-06-01,17.292200088500977,16.969999313354492,-1.8632723048395818
