periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,3,2025,ESRT,9.220000267028809,9.279999732971191,7.75,7.820000171661377,29598100,7.785787582397461,0.035,0.0
3M,USD,0.0,-0.2,122181000.0,53901000.0,6834531606.0,59856000.0,167753000.0,7321027000.0,3164631000.0,1693320606.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL,7.539999961853027,7.690000057220459,6.989999771118164,7.349999904632568,30317000,6.405653476715088,0.0,0.0
3M,USD,0.0,-0.33,127249000.0,12840000.0,6860758227.0,47822000.0,163049000.0,7030615000.0,3174369000.0,1943489227.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL,8.520000457763672,9.104999542236328,8.34000015258789,8.420000076293945,28177800,7.614805221557617,0.0,0.0
3M,USD,0.0,-0.08,159698000.0,71674000.0,6448220314.0,61954000.0,163496000.0,6704817000.0,3127807000.0,1686673314.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL,7.400000095367432,7.420000076293945,7.0,7.300000190734863,33232500,6.825634002685547,0.0,0.0
3M,USD,108729000.0,-0.87,147047000.0,-38451000.0,6322766054.0,49411000.0,118462000.0,5148250000.0,2685532000.0,1838992054.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL,8.0,8.321000099182129,7.769999980926514,8.039999961853027,36610700,7.8195672035217285,0.0,0.0
3M,USD,7557000.0,0.2,114880000.0,31784000.0,2977167961.0,43605000.0,70542000.0,2883222000.0,1690973000.0,1362800961.0,15294000.0,-289486000.0,1847276000.0,6,2024,AAT,21.899999618530273,22.450000762939453,20.860000610351562,22.3799991607666,6662400,20.816925048828125,0.335,0.0
3M,USD,8809000.0,0.28,533004000.0,39782000.0,3225366297.0,27969000.0,80405000.0,3296180000.0,2109579000.0,1627290297.0,21318000.0,-293037000.0,2258357000.0,9,2024,AAT,27.059999465942383,27.790000915527344,25.18000030517578,26.719999313354492,5831600,25.241159439086914,0.335,0.0
3M,USD,6905000.0,0.15,425659000.0,35527000.0,3203378129.0,21488000.0,69572000.0,3186416000.0,2010515000.0,1605490129.0,11584000.0,-304339000.0,2149044000.0,12,2024,AAT,28.5,28.8799991607666,25.3700008392334,26.260000228881836,6774800,25.121816635131836,0.335,0.0
3M,USD,7104000.0,0.7,143915000.0,73304000.0,2836747462.0,20424000.0,67302000.0,2884461000.0,1686081000.0,1231253462.0,54107000.0,-282387000.0,1815428000.0,3,2025,AAT,22.540000915527344,22.790000915527344,19.559999465942383,20.139999389648438,9606600,19.496484756469727,0.34,0.0
3M,USD,0.0,0.0,122181000.0,53901000.0,0.0,59856000.0,167753000.0,7321027000.0,3164631000.0,0.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL-PA,20.399999618530273,21.027999877929688,20.100000381469727,20.799999237060547,113560,19.17179298400879,0.0,0.0
3M,USD,0.0,0.0,127249000.0,12840000.0,0.0,47822000.0,163049000.0,7030615000.0,3174369000.0,0.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL-PA,22.229999542236328,22.978500366210938,22.010000228881836,22.950000762939453,533698,21.61572265625,0.0,0.0
3M,USD,0.0,0.0,159698000.0,71674000.0,0.0,61954000.0,163496000.0,6704817000.0,3127807000.0,0.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL-PA,23.389999389648438,23.5,21.66390037536621,22.940000534057617,249156,22.034826278686523,0.0,0.0
3M,USD,108729000.0,0.0,147047000.0,-38451000.0,0.0,49411000.0,118462000.0,5148250000.0,2685532000.0,0.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL-PA,22.239999771118164,23.299999237060547,22.209999084472656,22.350000381469727,248427,21.900894165039062,0.0,0.0
3M,USD,187750000.0,0.43,11284000.0,80131000.0,5405825729.0,-3064000.0,92134000.0,6326351000.0,4042878000.0,1464181729.0,31029000.0,65630000.0,4325017000.0,3,2024,SAFE,20.15999984741211,21.829999923706055,19.489999771118164,20.600000381469727,7146700,19.7059383392334,0.177,0.0
3M,USD,195444000.0,0.42,13418000.0,79572000.0,5413389889.0,24759000.0,88854000.0,6403491000.0,4090587000.0,1377983889.0,29555000.0,82597000.0,4386507000.0,6,2024,SAFE,19.420000076293945,19.489999771118164,18.110000610351562,19.290000915527344,7344400,18.61881446838379,0.177,0.0
3M,USD,203120000.0,0.27,15579000.0,70574000.0,5954384280.0,8262000.0,89658000.0,6483493000.0,4195673000.0,1873766280.0,19953000.0,89175000.0,4497404000.0,9,2024,SAFE,24.709999084472656,28.799999237060547,24.15999984741211,26.229999542236328,8493500,25.553651809692383,0.177,0.0
3M,USD,210773000.0,0.0,8346000.0,77825000.0,5504275200.0,7898000.0,90815000.0,6561457000.0,4217439000.0,1320211200.0,26078000.0,102472000.0,4525352000.0,12,2024,SAFE,21.350000381469727,21.899999618530273,18.110000610351562,18.479999542236328,9173700,18.125425338745117,0.177,0.0
3M,USD,218388000.0,0.41,17296000.0,80719000.0,5554888560.0,8901000.0,96519000.0,6592316000.0,4241484000.0,1342654560.0,29410000.0,119034000.0,4548179000.0,3,2025,SAFE,18.559999465942383,19.530000686645508,17.68000030517578,18.719999313354492,8765500,18.536937713623047,0.0,0.0
3M,USD,150180000.0,0.0,20306000.0,23260000.0,0.0,17394000.0,51263000.0,1810878000.0,1419229000.0,0.0,3279000.0,-200699000.0,1780580000.0,6,2024,AHH-PA,22.059999465942383,22.440000534057617,21.399999618530273,21.399999618530273,101679,19.86420249938965,0.0,0.0
3M,USD,157598000.0,0.0,43852000.0,14433000.0,0.0,27337000.0,53829000.0,1820738000.0,1327971000.0,0.0,-7546000.0,-222839000.0,1679647000.0,9,2024,AHH-PA,23.290000915527344,25.760000228881836,22.549999237060547,25.540000915527344,179598,24.183847427368164,0.0,0.0
3M,USD,137484000.0,0.0,70642000.0,46918000.0,0.0,20803000.0,48304000.0,1795110000.0,1295559000.0,0.0,29036000.0,-218623000.0,1623194000.0,12,2024,AHH-PA,22.799999237060547,23.690000534057617,22.329999923706055,22.920000076293945,362628,22.067481994628906,0.0,0.0
3M,USD,124054000.0,0.0,45716000.0,13956000.0,0.0,107000.0,47832000.0,1806858000.0,1320552000.0,0.0,-4343000.0,-235535000.0,1596474000.0,3,2025,AHH-PA,22.719999313354492,22.790000915527344,21.850000381469727,22.040000915527344,154200,21.618125915527344,0.0,0.0
3M,USD,150180000.0,0.004247,20306000.0,23260000.0,2424858571.0,17394000.0,51263000.0,1810878000.0,1419229000.0,743844571.0,3279000.0,-200699000.0,1780580000.0,6,2024,AHH,11.369999885559082,11.430000305175781,10.680000305175781,11.09000015258789,10863800,10.299225807189941,0.205,0.0
3M,USD,157598000.0,-0.130696,43852000.0,14433000.0,2556817412.0,27337000.0,53829000.0,1820738000.0,1327971000.0,863109412.0,-7546000.0,-222839000.0,1679647000.0,9,2024,AHH,12.1899995803833,12.300000190734863,10.729999542236328,10.829999923706055,14495500,10.24911880493164,0.205,0.0
3M,USD,137484000.0,0.327997,70642000.0,46918000.0,2394354445.0,20803000.0,48304000.0,1795110000.0,1295559000.0,815289445.0,29036000.0,-218623000.0,1623194000.0,12,2024,AHH,11.050000190734863,11.140000343322754,9.880000114440918,10.229999542236328,21624600,9.846620559692383,0.205,0.0
3M,USD,124054000.0,-0.090161,45716000.0,13956000.0,2121984560.0,107000.0,47832000.0,1806858000.0,1320552000.0,601971560.0,-4343000.0,-235535000.0,1596474000.0,3,2025,AHH,9.15999984741211,9.279999732971191,7.349999904632568,7.510000228881836,26992400,7.374335765838623,0.14,0.0
3M,USD,0.0,0.0,10416000.0,11063000.0,0.0,13603000.0,29734000.0,868242000.0,641386000.0,0.0,1599000.0,-610209000.0,959725000.0,6,2024,GOODO,20.229999542236328,20.59000015258789,19.260000228881836,19.290000915527344,93400,17.94950294494629,0.125,0.0
3M,USD,0.0,0.0,10531000.0,21020000.0,0.0,5540000.0,31026000.0,861563000.0,639397000.0,0.0,11718000.0,-614698000.0,927269000.0,9,2024,GOODO,21.010000228881836,21.604999542236328,20.75,21.190000534057617,121900,20.085186004638672,0.125,0.0
3M,USD,0.0,0.0,10956000.0,16333000.0,0.0,22787000.0,28799000.0,864555000.0,691485000.0,0.0,7197000.0,-623912000.0,923047000.0,12,2024,GOODO,21.690000534057617,22.25,20.329999923706055,20.5,135100,19.768400192260742,0.125,0.0
3M,USD,0.0,0.0,10383000.0,14274000.0,0.0,17684000.0,29033000.0,923961000.0,689446000.0,0.0,5136000.0,-635393000.0,977091000.0,3,2025,GOODO,20.780000686645508,21.049999237060547,20.440000534057617,20.586999893188477,87500,20.213186264038086,0.125,0.0
3M,USD,0.0,0.01,10451000.0,13023000.0,1289917476.0,15023000.0,28302000.0,866668000.0,643406000.0,557947476.0,3526000.0,-596475000.0,956906000.0,3,2024,GOOD,12.40999984741211,13.949999809265137,12.289999961853027,13.84000015258789,5392100,12.51398754119873,0.1,0.0
3M,USD,0.0,-0.04,10416000.0,11063000.0,1284721975.0,13603000.0,29734000.0,868242000.0,641386000.0,571574975.0,1599000.0,-610209000.0,959725000.0,6,2024,GOOD,14.460000038146973,14.579999923706055,13.710000038146973,14.270000457763672,5430900,13.188334465026855,0.1,0.0
3M,USD,0.0,0.2,10531000.0,21020000.0,1426447311.0,5540000.0,31026000.0,861563000.0,639397000.0,710144311.0,11718000.0,-614698000.0,927269000.0,9,2024,GOOD,15.239999771118164,16.43000030517578,15.029999732971191,16.239999771118164,5123900,15.328511238098145,0.1,0.0
3M,USD,0.0,0.0,10956000.0,16333000.0,1400573257.0,22787000.0,28799000.0,864555000.0,691485000.0,714333257.0,7197000.0,-623912000.0,923047000.0,12,2024,GOOD,17.600000381469727,17.600000381469727,15.539999961853027,16.239999771118164,5725400,15.610198020935059,0.1,0.0
3M,USD,0.0,0.04,10383000.0,14274000.0,1371942911.0,17684000.0,29033000.0,923961000.0,689446000.0,685449911.0,5136000.0,-635393000.0,977091000.0,3,2025,GOOD,16.200000762939453,16.399999618530273,14.539999961853027,14.979999542236328,13440400,14.671537399291992,0.1,0.0
3M,USD,11211000.0,0.21,6760000.0,11008000.0,843204634.0,11757000.0,20555000.0,1004231000.0,491151000.0,386605634.0,5842000.0,277654000.0,578842000.0,3,2024,CTO,17.06999969482422,17.239999771118164,16.329999923706055,16.950000762939453,3123800,15.282772064208984,0.38,0.0
3M,USD,11282000.0,-0.03,4794000.0,6603000.0,915024877.0,12883000.0,20506000.0,974429000.0,431752000.0,400644877.0,1183000.0,268269000.0,517953000.0,6,2024,CTO,17.8799991607666,18.0,17.030000686645508,17.459999084472656,2389000,16.102109909057617,0.38,0.0
3M,USD,12341000.0,0.17,8172000.0,11746000.0,1025176652.0,21193000.0,23649000.0,1122573000.0,526838000.0,570058652.0,6227000.0,261373000.0,580342000.0,9,2024,CTO,18.979999542236328,21.149999618530273,18.559999465942383,19.020000457763672,15308100,17.92386245727539,0.38,0.0
3M,USD,18776000.0,0.0,9017000.0,-10187000.0,1119177271.0,23517000.0,26587000.0,1131744000.0,468004000.0,624284271.0,-15217000.0,232089000.0,568846000.0,12,2024,CTO,20.350000381469727,20.739999771118164,19.030000686645508,19.709999084472656,10287600,18.955825805664062,0.38,0.0
3M,USD,19267000.0,0.01,8428000.0,8120000.0,1100655359.0,10311000.0,26920000.0,1196052000.0,551188000.0,614881359.0,2261000.0,220272000.0,650020000.0,3,2025,CTO,19.100000381469727,19.6299991607666,18.020000457763672,19.309999465942383,8358900,18.922576904296875,0.38,0.0
3M,USD,0.0,0.463963,35020000.0,14427000.0,872696754.0,8615000.0,17824000.0,722765000.0,415470000.0,483530754.0,9677000.0,-45311000.0,450797000.0,6,2024,OLP,23.6200008392334,24.5,22.760000228881836,23.479999542236328,1018100,21.924779891967773,0.45,0.0
3M,USD,0.0,0.250884,25684000.0,10121000.0,949233620.0,9969000.0,17980000.0,730316000.0,426139000.0,568783620.0,5189000.0,-49830000.0,463526000.0,9,2024,OLP,26.489999771118164,28.799999237060547,26.149999618530273,27.540000915527344,1160500,26.204345703125,0.45,0.0
3M,USD,0.0,0.509629,42315000.0,15616000.0,964268520.0,11568000.0,18629000.0,727980000.0,420555000.0,563813520.0,10552000.0,-49020000.0,458379000.0,12,2024,OLP,30.1299991607666,30.299999237060547,26.420000076293945,27.239999771118164,1358200,26.339805603027344,0.45,0.0
3M,USD,0.0,0.18,8162000.0,9601000.0,925811880.0,10996000.0,19132000.0,774202000.0,465971000.0,547571880.0,4169000.0,-54669000.0,507356000.0,3,2025,OLP,26.610000610351562,28.360000610351562,25.649999618530273,26.270000457763672,1577300,25.824913024902344,0.45,0.0
3M,USD,0.0,-0.19,0.0,-1139000.0,713930668.0,2685000.0,13007000.0,0.0,0.0,291315668.0,-4822000.0,0.0,0.0,12,2024,FVR,19.399999618530273,19.719999313354492,17.799999237060547,18.1299991607666,7295900,17.614065170288086,0.215,0.0
3M,USD,2516000.0,-0.06,3309000.0,3262000.0,497326579.0,8101000.0,13867000.0,634878000.0,310214000.0,221147579.0,-1337000.0,-11546000.0,345244000.0,3,2025,FVR,17.15999984741211,17.174999237060547,12.640000343322754,12.789999961853027,4949100,12.576667785644531,0.0,0.0
3M,USD,11282000.0,0.0,4794000.0,6603000.0,0.0,12883000.0,20506000.0,974429000.0,431752000.0,0.0,1183000.0,268269000.0,517953000.0,6,2024,CTO-PA,21.110000610351562,21.84000015258789,20.020000457763672,20.1299991607666,126607,18.746322631835938,0.39844,0.0
3M,USD,12341000.0,0.0,8172000.0,11746000.0,0.0,21193000.0,23649000.0,1122573000.0,526838000.0,0.0,6227000.0,261373000.0,580342000.0,9,2024,CTO-PA,23.100000381469727,24.951400756835938,21.950000762939453,23.530000686645508,111815,22.319812774658203,0.39844,0.0
3M,USD,18776000.0,0.0,9017000.0,-10187000.0,0.0,23517000.0,26587000.0,1131744000.0,468004000.0,0.0,-15217000.0,232089000.0,568846000.0,12,2024,CTO-PA,23.649999618530273,24.02589988708496,21.75,23.110000610351562,294790,22.305484771728516,0.39844,0.0
3M,USD,19267000.0,0.0,8428000.0,8120000.0,0.0,10311000.0,26920000.0,1196052000.0,551188000.0,0.0,2261000.0,220272000.0,650020000.0,3,2025,CTO-PA,21.389999389648438,23.188199996948242,20.450000762939453,20.489999771118164,172371,20.11823081970215,0.39844,0.0
3M,USD,0.0,0.0,122181000.0,53901000.0,0.0,59856000.0,167753000.0,7321027000.0,3164631000.0,0.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL-PB,19.610000610351562,20.75,19.450000762939453,20.079999923706055,91979,18.533872604370117,0.0,0.0
3M,USD,0.0,0.0,127249000.0,12840000.0,0.0,47822000.0,163049000.0,7030615000.0,3174369000.0,0.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL-PB,22.260000228881836,23.700000762939453,22.15999984741211,23.5,177246,22.157236099243164,0.0,0.0
3M,USD,0.0,0.0,159698000.0,71674000.0,0.0,61954000.0,163496000.0,6704817000.0,3127807000.0,0.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL-PB,22.149999618530273,22.469999313354492,20.18549919128418,21.450000762939453,135328,20.599430084228516,0.0,0.0
3M,USD,108729000.0,0.0,147047000.0,-38451000.0,0.0,49411000.0,118462000.0,5148250000.0,2685532000.0,0.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL-PB,20.690000534057617,21.989999771118164,20.690000534057617,21.610000610351562,161531,21.177108764648438,0.0,0.0
3M,USD,0.0,0.0,122181000.0,53901000.0,0.0,59856000.0,167753000.0,7321027000.0,3164631000.0,0.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL-PD,20.489999771118164,20.75,20.149999618530273,20.440000534057617,249819,18.81035041809082,0.0,0.0
3M,USD,0.0,0.0,127249000.0,12840000.0,0.0,47822000.0,163049000.0,7030615000.0,3174369000.0,0.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL-PD,22.149999618530273,24.469999313354492,22.030000686645508,24.149999618530273,234393,22.731966018676758,0.0,0.0
3M,USD,0.0,0.0,159698000.0,71674000.0,0.0,61954000.0,163496000.0,6704817000.0,3127807000.0,0.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL-PD,23.649999618530273,23.649999618530273,21.510000228881836,23.31999969482422,352218,22.38336944580078,0.0,0.0
3M,USD,108729000.0,0.0,147047000.0,-38451000.0,0.0,49411000.0,118462000.0,5148250000.0,2685532000.0,0.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL-PD,23.260000228881836,23.600000381469727,22.875,23.59000015258789,193451,23.112443923950195,0.0,0.0
3M,USD,0.0,0.0,122181000.0,53901000.0,0.0,59856000.0,167753000.0,7321027000.0,3164631000.0,0.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL-PE,20.860000610351562,21.209999084472656,20.459999084472656,20.709999084472656,114605,19.063213348388672,0.0,0.0
3M,USD,0.0,0.0,127249000.0,12840000.0,0.0,47822000.0,163049000.0,7030615000.0,3174369000.0,0.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL-PE,21.940000534057617,23.520000457763672,21.594999313354492,23.29010009765625,108994,21.922096252441406,0.0,0.0
3M,USD,0.0,0.0,159698000.0,71674000.0,0.0,61954000.0,163496000.0,6704817000.0,3127807000.0,0.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL-PE,22.709999084472656,23.719999313354492,21.389999389648438,22.5,174112,21.59847068786621,0.0,0.0
3M,USD,108729000.0,0.0,147047000.0,-38451000.0,0.0,49411000.0,118462000.0,5148250000.0,2685532000.0,0.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL-PE,22.475000381469727,23.060400009155273,22.299999237060547,22.769100189208984,101735,22.307775497436523,0.0,0.0
3M,USD,0.0,0.0,10416000.0,11063000.0,0.0,13603000.0,29734000.0,868242000.0,641386000.0,0.0,1599000.0,-610209000.0,959725000.0,6,2024,GOODN,22.764999389648438,23.3799991607666,21.93000030517578,22.174999237060547,67900,20.6265869140625,0.138,0.0
3M,USD,0.0,0.0,10531000.0,21020000.0,0.0,5540000.0,31026000.0,861563000.0,639397000.0,0.0,11718000.0,-614698000.0,927269000.0,9,2024,GOODN,23.020000457763672,23.729999542236328,22.75,22.950000762939453,127000,21.742704391479492,0.138,0.0
3M,USD,0.0,0.0,10956000.0,16333000.0,0.0,22787000.0,28799000.0,864555000.0,691485000.0,0.0,7197000.0,-623912000.0,923047000.0,12,2024,GOODN,23.989999771118164,24.280000686645508,21.75,22.59000015258789,209200,21.773792266845703,0.138,0.0
3M,USD,0.0,0.0,10383000.0,14274000.0,0.0,17684000.0,29033000.0,923961000.0,689446000.0,0.0,5136000.0,-635393000.0,977091000.0,3,2025,GOODN,22.729999542236328,23.299999237060547,22.174999237060547,22.770000457763672,77300,22.354183197021484,0.138,0.0
3M,USD,0.0,0.0,28372000.0,0.0,0.0,-5492000.0,0.0,1209098000.0,0.0,0.0,-10522000.0,-171101000.0,390667000.0,6,2024,NXDT-PA,15.0,15.270000457763672,13.989999771118164,14.649999618530273,156764,13.385113716125488,0.34375,0.0
3M,USD,0.0,0.0,8519000.0,0.0,0.0,497000.0,0.0,1203218000.0,0.0,0.0,-15420000.0,-187487000.0,397800000.0,9,2024,NXDT-PA,14.75,15.895099639892578,14.40999984741211,15.464599609375,87050,14.45653247833252,0.34375,0.0
3M,USD,0.0,0.0,8791000.0,0.0,0.0,-4115000.0,0.0,1190560000.0,0.0,0.0,-9083000.0,-202818000.0,391301000.0,12,2024,NXDT-PA,16.239999771118164,16.43000030517578,14.829999923706055,16.389999389648438,120781,15.662365913391113,0.34375,0.0
3M,USD,0.0,0.0,9469000.0,0.0,0.0,7076000.0,0.0,1145511000.0,0.0,0.0,-35106000.0,-243747000.0,381554000.0,3,2025,NXDT-PA,15.470000267028809,15.899999618530273,14.399999618530273,15.399999618530273,119831,15.03963565826416,0.34375,0.0
3M,USD,1486312000.0,0.42,2776628000.0,223856000.0,74530740537.0,590941000.0,681440000.0,42912193000.0,13935767000.0,62332763537.0,260670000.0,-7965580000.0,15845358000.0,6,2024,WELL,103.76000213623047,105.69000244140625,100.12999725341797,104.25,69842900,102.21192932128906,0.0,0.0
3M,USD,1456045000.0,0.74,3564942000.0,322916000.0,90725986145.0,669316000.0,798355000.0,46097904000.0,15763623000.0,79173177145.0,456800000.0,-7924847000.0,17889695000.0,9,2024,WELL,120.2300033569336,131.30999755859375,120.2300033569336,128.02999877929688,64856300,126.24752044677734,0.0,0.0
3M,USD,1712402000.0,0.19,3506586000.0,263712000.0,92656555133.0,545052000.0,809935000.0,47456465000.0,15500257000.0,80065514133.0,123753000.0,-8223340000.0,18471722000.0,12,2024,WELL,137.38999938964844,137.8000030517578,123.25,126.02999877929688,62210300,124.89081573486328,0.0,0.0
3M,USD,1777171000.0,0.4,3501851000.0,343669000.0,113127692116.0,587438000.0,926197000.0,49680616000.0,15723857000.0,99875922116.0,257266000.0,-8396424000.0,18711637000.0,3,2025,WELL,153.49000549316406,158.5500030517578,143.5800018310547,153.2100067138672,76465900,152.50343322753906,0.0,0.0
3M,USD,196254000.0,-0.04,632443000.0,134389000.0,30769121753.0,132324000.0,510664000.0,22958034000.0,13546987000.0,17592285753.0,-12540000.0,0.0,14928709000.0,3,2024,VTR,42.29999923706055,44.650001525878906,41.91999816894531,43.540000915527344,52141500,41.792938232421875,0.45,0.0
3M,USD,198668000.0,0.05,557082000.0,178193000.0,33873650835.0,183260000.0,519179000.0,22794427000.0,13171916000.0,20748702835.0,21168000.0,0.0,14551045000.0,6,2024,VTR,50.15999984741211,51.2599983215332,49.060001373291016,51.2599983215332,43836800,49.715938568115234,0.0,0.0
3M,USD,203237000.0,0.05,1104733000.0,174435000.0,39718697710.0,206801000.0,521354000.0,23427965000.0,13660949000.0,26887592710.0,20996000.0,0.0,15188823000.0,9,2024,VTR,61.7599983215332,65.6500015258789,61.5,64.12999725341797,66887800,62.74911880493164,0.0,0.0
