periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,2024,0,28.59000015258789,31.795000076293945,27.530000686645508,31.260000228881836,132289400,30.019594192504883,0.0,0.0
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,2024,0,32.029998779296875,33.5099983215332,30.600000381469727,33.47999954223633,97041500,32.15150451660156,0.0,0.0
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,2024,0,33.36000061035156,34.290000915527344,32.4900016784668,33.310001373291016,109849700,31.988248825073242,0.433,0.0
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,2024,0,33.400001525878906,33.45000076293945,31.75,31.760000228881836,85355500,30.896617889404297,0.0,0.0
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,2024,0,31.8700008392334,33.040000915527344,30.649999618530273,32.61000061035156,100796300,31.723508834838867,0.0,0.0
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,2024,0,32.59000015258789,32.599998474121094,28.219999313354492,29.209999084472656,112296900,28.415937423706055,0.433,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,31.790000915527344,32.68000030517578,29.8799991607666,30.1200008392334,124928800,28.09090805053711,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,30.110000610351562,31.06999969482422,28.915000915527344,29.93000030517578,126075900,27.913705825805664,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,29.809999465942383,29.940000534057617,28.260000228881836,29.790000915527344,132942700,27.783138275146484,0.415,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,29.889999389648438,29.959999084472656,27.075000762939453,28.549999237060547,130795300,27.01364517211914,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,28.440000534057617,30.610000610351562,27.829999923706055,28.709999084472656,150253900,27.165037155151367,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,28.75,29.06999969482422,27.700000762939453,28.639999389648438,114470100,27.09880256652832,0.415,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,28.59000015258789,31.795000076293945,27.530000686645508,31.260000228881836,132289400,30.019594192504883,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,32.029998779296875,33.5099983215332,30.600000381469727,33.47999954223633,97041500,32.15150451660156,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,33.36000061035156,34.290000915527344,32.4900016784668,33.310001373291016,109849700,31.988248825073242,0.433,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,33.400001525878906,33.45000076293945,31.75,31.760000228881836,85355500,30.896617889404297,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,31.8700008392334,33.040000915527344,30.649999618530273,32.61000061035156,100796300,31.723508834838867,0.0,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,2024,0,32.59000015258789,32.599998474121094,28.219999313354492,29.209999084472656,112296900,28.415937423706055,0.433,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,31.790000915527344,32.68000030517578,29.8799991607666,30.1200008392334,124928800,28.09090805053711,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,30.110000610351562,31.06999969482422,28.915000915527344,29.93000030517578,126075900,27.913705825805664,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,29.809999465942383,29.940000534057617,28.260000228881836,29.790000915527344,132942700,27.783138275146484,0.415,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,29.889999389648438,29.959999084472656,27.075000762939453,28.549999237060547,130795300,27.01364517211914,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,28.440000534057617,30.610000610351562,27.829999923706055,28.709999084472656,150253900,27.165037155151367,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,28.75,29.06999969482422,27.700000762939453,28.639999389648438,114470100,27.09880256652832,0.415,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,28.59000015258789,31.795000076293945,27.530000686645508,31.260000228881836,132289400,30.019594192504883,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,32.029998779296875,33.5099983215332,30.600000381469727,33.47999954223633,97041500,32.15150451660156,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,33.36000061035156,34.290000915527344,32.4900016784668,33.310001373291016,109849700,31.988248825073242,0.433,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,33.400001525878906,33.45000076293945,31.75,31.760000228881836,85355500,30.896617889404297,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,31.8700008392334,33.040000915527344,30.649999618530273,32.61000061035156,100796300,31.723508834838867,0.0,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,2024,0,32.59000015258789,32.599998474121094,28.219999313354492,29.209999084472656,112296900,28.415937423706055,0.433,0.0
3M,USD,5865000.0,0.0,334317000.0,759060000.0,51595107115.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34469637115.0,552265000.0,1954124000.0,18503399000.0,2025,0,29.399999618530273,30.645999908447266,27.979999542236328,29.770000457763672,141588200,29.371902465820312,0.0,0.0
3M,USD,5865000.0,0.0,334317000.0,759060000.0,51595107115.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34469637115.0,552265000.0,1954124000.0,18503399000.0,2025,0,29.510000228881836,32.73500061035156,29.219999313354492,32.4900016784668,114996300,32.0555305480957,0.0,0.0
3M,USD,5865000.0,0.0,334317000.0,759060000.0,51595107115.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34469637115.0,552265000.0,1954124000.0,18503399000.0,2025,0,32.4900016784668,34.029998779296875,31.40999984741211,32.619998931884766,176278300,32.18378829956055,0.433,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,56.279998779296875,57.77000045776367,53.09000015258789,54.84000015258789,23140800,51.628482818603516,0.0,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,54.04999923706055,60.52000045776367,53.380001068115234,56.400001525878906,25148200,53.097129821777344,0.0,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,56.7599983215332,57.91999816894531,54.4900016784668,55.04999923706055,28744900,51.8261833190918,0.87,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,54.790000915527344,61.2400016784668,54.13999938964844,57.810001373291016,24341700,55.28891372680664,0.0,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,58.65999984741211,60.56999969482422,55.25,60.02000045776367,21607300,57.40253448486328,0.0,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,59.86000061035156,64.26000213623047,59.72999954223633,62.29999923706055,20750600,59.58310317993164,0.875,0.0
