periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,0.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-18000.0,-45000.0,3,2025,VICI,32.75,34.029998779296875,31.489999771118164,32.25,53141400.0,31.818737030029297,0.0,0.0
3M,USD,0.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-18000.0,-45000.0,3,2025,VICI,32.349998474121094,32.7599983215332,31.475000381469727,31.530000686645508,44336100.0,31.108366012573242,0.433,0.0
3M,USD,0.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-18000.0,-45000.0,3,2025,VICI,31.649999618530273,32.349998474121094,31.40999984741211,32.0099983215332,27354700.0,32.0099983215332,0.0,0.0
3M,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2484000.0,0.0,0.0,0.0,9,2023,WPC,53.956905364990234,54.27032470703125,52.575904846191406,52.96767807006836,2365657.0,47.49797821044922,0.0,0.0
3M,USD,220031597.0,43096000.0,236411000.0,1035547000.0,346702000.0,16546272000.0,218823907.0,0.0,-2926085000.0,1405181.795422,27177000.0,3,2024,WPC,56.36000061035156,58.2599983215332,55.90999984741211,57.56999969482422,7060700.0,53.35556411743164,0.0,0.0
3M,USD,220031597.0,43096000.0,236411000.0,1035547000.0,346702000.0,16546272000.0,218823907.0,0.0,-2926085000.0,1405181.795422,27177000.0,3,2024,WPC,57.529998779296875,58.400001525878906,54.90999984741211,55.9900016784668,9114100.0,51.8912239074707,0.0,0.0
3M,USD,220031597.0,43096000.0,236411000.0,1035547000.0,346702000.0,16546272000.0,218823907.0,0.0,-2926085000.0,1405181.795422,27177000.0,3,2024,WPC,55.58000183105469,56.900001525878906,55.25,55.959999084472656,6275700.0,51.863426208496094,0.0,0.0
3M,USD,220031597.0,43096000.0,236411000.0,1035547000.0,346702000.0,16546272000.0,218823907.0,0.0,-2926085000.0,1405181.795422,27177000.0,3,2024,WPC,56.040000915527344,56.61000061035156,55.11000061035156,56.439998626708984,4653500.0,52.30828857421875,0.865,0.0
3M,USD,220195910.0,46500000.0,214380000.0,221048000.0,343172000.0,16735327000.0,218831869.0,-1094000.0,-2975236000.0,1173730.756073,28135000.0,6,2024,WPC,56.7599983215332,57.91999816894531,56.060001373291016,56.209999084472656,6942700.0,52.91825485229492,0.0,0.0
3M,USD,220195910.0,46500000.0,214380000.0,221048000.0,343172000.0,16735327000.0,218831869.0,-1094000.0,-2975236000.0,1173730.756073,28135000.0,6,2024,WPC,55.72999954223633,56.93000030517578,55.130001068115234,56.09000015258789,6342400.0,52.80528259277344,0.0,0.0
3M,USD,220195910.0,46500000.0,214380000.0,221048000.0,343172000.0,16735327000.0,218831869.0,-1094000.0,-2975236000.0,1173730.756073,28135000.0,6,2024,WPC,55.95000076293945,56.33000183105469,54.790000915527344,55.119998931884766,8097600.0,51.892086029052734,0.0,0.0
3M,USD,220195910.0,46500000.0,214380000.0,221048000.0,343172000.0,16735327000.0,218831869.0,-1094000.0,-2975236000.0,1173730.756073,28135000.0,6,2024,WPC,55.20000076293945,56.2599983215332,54.4900016784668,55.04999923706055,7362200.0,51.82618713378906,0.87,0.0
3M,USD,220221366.0,42095000.0,193222000.0,280170000.0,355288000.0,16552279000.0,218847015.0,15895000.0,-3056708000.0,-756514.084974,-10096000.0,9,2024,WPC,59.86000061035156,61.66999816894531,59.72999954223633,61.47999954223633,3768200.0,58.798858642578125,0.0,0.0
